station,dist_perp_km,v_parallel_mm_yr,sigma_v_mm_yr
sta_4,3.053408732221044,-22.115900568512302,0.2447925342081795
sta_20,-18.17619199618864,-29.006009307501053,0.18906191770816258
sta_28,15.375104332969638,-18.744275253891225,0.6556094832225418
sta_34,-5.798512301732984,-26.389161299163806,0.19344742004758003
sta_39,7.546994599027313,-21.74161624497309,0.1791079805293767
sta_49,-12.451675241813042,-28.082887304442036,0.202140485211722
sta_74,-0.39841235984572343,-26.037321752433485,0.4544358917542638
sta_100,9.137977995856907,-21.786578458035216,0.2515164108397912
sta_104,2.750107665112644,-21.665681723213844,0.5137674502932955
sta_105,-8.633254119246615,-25.77477253911746,0.7132103429693479
sta_115,-7.884764895262741,-26.42577710373055,0.2153588759007292
sta_116,-11.547676204138604,-32.4577942606013,0.18206335382315253
sta_163,-6.0620576361440826,-25.46840945958148,0.2290553950400148
sta_329,-7.507647824034448,-25.998751757264664,0.2044397078323067
sta_343,-2.1470426146988784,-30.82555822703477,0.18223100428358288
sta_349,7.637774726925022,-22.898536747344913,0.19629393270611567
sta_357,-13.650460692770569,-27.81793394101287,0.20159585207325062
sta_359,-3.844048271757238,-24.642475769533274,0.28700003836418314
sta_360,-6.702919601381076,-26.67521945630403,0.33315382357716905
sta_361,-8.543564194521942,-27.66149101799213,0.6321492297495805
sta_362,4.252683073994966,-23.38449074171528,0.7293235340761599
sta_363,16.492857410482692,-19.155934381046603,0.42500672147713425
sta_365,7.790819581453597,-20.945535054064248,0.6323136338400924
sta_366,9.419606195305946,-20.73203311232397,0.29279541562587874
sta_450,7.338579981579485,-20.769815283903473,0.1857670078284353
sta_559,8.863992092208026,-22.01569198568158,0.21359415417703875
sta_597,-4.508369377221719,-25.80742905327652,1.5326715426404585
sta_626,1.5357674796365366,-22.146720818444507,0.24164338066593918
sta_629,6.04657278921573,-23.149604365776426,0.3864545173915687
sta_671,-6.367293347408946,-24.86463569318815,0.48503506059060175
sta_688,1.9147113448700281,-22.36007356972364,0.2994510679823144
sta_848,14.62099854574255,-20.42350646876413,0.7129287851697168
sta_855,-18.685982593391497,-34.87783978973039,0.6665513509046173
sta_898,5.536851044521262,-25.93569192214929,0.703
sta_950,-15.471938312885044,-27.988232828390128,0.5071029434571195
sta_1018,-4.076573006001048,-25.10601189943213,0.5773400114187563
sta_1041,-17.507389830496223,-29.189425332646582,0.4614345948320564
sta_1096,8.53803275682813,-19.558920134332492,0.9071477418100398
sta_1125,3.4448173754543303,-26.915030339562552,0.7843379623702895
sta_1132,-3.9475410846868755,-24.95751275028229,0.8284032055357529
sta_1146,-13.415770376106,-27.14838877479971,0.5645915773247085
sta_1153,-4.34464581024389,-25.48712936670673,0.5708249272216535
sta_1168,-14.467977657914012,-28.694528026434,0.6313464182114801
sta_1187,-0.3510335196468688,-22.50889739045478,0.722512059790474
sta_1290,8.046685146218508,-21.449772428633757,0.77622506406849
sta_1395,-4.923665232001279,-30.129778450862176,0.61
sta_1398,2.675575782251991,-25.619189764707496,0.85
sta_1399,-8.540824728069552,-33.66227797591905,0.8899999999999999
sta_1402,-12.6649432314105,-31.49396140469167,0.61
sta_1408,12.899768619535518,-15.317402038889352,0.5900000000000001
sta_1418,-6.249211805259854,-26.487799349745078,0.52
sta_1423,1.2795374289447614,-30.26071951948132,0.4800000000000001
sta_1427,6.43180144472861,-24.210440445396753,0.4800000000000001
